id,type,src,dst,app,latency,message,ctime,size,buffer
82,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,1200,20,3
83,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,1200,20,4
84,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,1200,20,5
85,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,1300,20009999,0
86,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,1300,20009999,1
87,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,1300,20,2
89,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,1300,20,3
90,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,1300,20,4
91,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,1300,20,5
92,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,1400,20009999,0
93,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,1400,20009999,1
94,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,1400,20,2
96,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,1400,20,3
97,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,1400,20,4
98,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,1400,20,5
99,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,1500,20009999,0
100,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,1500,20009999,1
101,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,1500,20,2
103,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,1500,20,3
104,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,1500,20,4
105,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,1500,20,5
106,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,1600,20009999,0
107,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,1600,20009999,1
108,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,1600,20,2
110,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,1600,20,3
111,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,1600,20,4
112,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,1600,20,5
113,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,1700,20009999,0
