id,type,src,dst,srcLabel,dstLabel,app,latency,wait,message,ctime,size,buffer
1,LINK,2,26,Gateway-1,EndDevice-1,Application-1,2.000001528812308,0.0,M_Req,100,15527,0
2,LINK,2,27,Gateway-1,EndDevice-2,Application-2,2.0000009544861537,0.0,M_Req,100,9694,1
3,LINK,2,28,Gateway-1,EndDevice-3,Application-3,2.0000018403446154,0.0,M_Req,100,18691,2
4,LINK,2,29,Gateway-1,EndDevice-4,Application-4,2.000001663113846,0.0,M_Req,100,16891,3
5,LINK,4,30,Gateway-2,EndDevice-5,Application-5,2.0000011811446154,0.0,M_Req,100,11996,4
6,LINK,4,31,Gateway-2,EndDevice-6,Application-6,2.0000012032984618,0.0,M_Req,100,12221,5
7,LINK,4,32,Gateway-2,EndDevice-7,Application-7,2.000001690289231,0.0,M_Req,100,17167,6
8,LINK,4,33,Gateway-2,EndDevice-8,Application-8,2.0000002692923076,0.0,M_Req,100,2735,7
9,LINK,6,34,Gateway-3,EndDevice-9,Application-9,2.0000000199876924,0.0,M_Req,100,203,8
10,LINK,6,35,Gateway-3,EndDevice-10,Application-10,2.0000009298707693,0.0,M_Req,100,9444,9
11,LINK,6,36,Gateway-3,EndDevice-11,Application-11,2.0000002082461537,0.0,M_Req,100,2115,10
12,LINK,6,37,Gateway-3,EndDevice-12,Application-12,2.0000008715815385,0.0,M_Req,100,8852,11
13,LINK,8,38,Gateway-4,EndDevice-13,Application-13,2.0000001782153847,0.0,M_Req,100,1810,12
14,LINK,8,39,Gateway-4,EndDevice-14,Application-14,2.000000915495385,0.0,M_Req,100,9298,13
15,LINK,8,40,Gateway-4,EndDevice-15,Application-15,2.0000009251446156,0.0,M_Req,100,9396,14
16,LINK,8,41,Gateway-4,EndDevice-16,Application-16,2.0000017535015386,0.0,M_Req,100,17809,15
17,LINK,10,42,Gateway-5,EndDevice-17,Application-17,2.0000015209353847,0.0,M_Req,100,15447,16
18,LINK,10,43,Gateway-5,EndDevice-18,Application-18,2.000000111852308,0.0,M_Req,100,1136,17
19,LINK,10,44,Gateway-5,EndDevice-19,Application-19,2.0000007945846154,0.0,M_Req,100,8070,18
20,LINK,10,45,Gateway-5,EndDevice-20,Application-20,2.000000260726154,0.0,M_Req,100,2648,19
21,LINK,12,46,Gateway-6,EndDevice-21,Application-21,2.000000192689231,0.0,M_Req,100,1957,20
22,LINK,12,47,Gateway-6,EndDevice-22,Application-22,2.0000008000984617,0.0,M_Req,100,8126,21
23,LINK,12,48,Gateway-6,EndDevice-23,Application-23,2.0000015038030767,0.0,M_Req,100,15273,22
24,LINK,12,49,Gateway-6,EndDevice-24,Application-24,2.000000635273846,0.0,M_Req,100,6452,23
25,LINK,14,50,Gateway-7,EndDevice-25,Application-25,2.0000003064123075,0.0,M_Req,100,3112,24
26,LINK,14,51,Gateway-7,EndDevice-26,Application-26,2.0000008767015385,0.0,M_Req,100,8904,25
27,LINK,14,52,Gateway-7,EndDevice-27,Application-27,2.0000000250092307,0.0,M_Req,100,254,26
28,LINK,14,53,Gateway-7,EndDevice-28,Application-28,2.000000522633846,0.0,M_Req,100,5308,27
29,LINK,16,54,Gateway-8,EndDevice-29,Application-29,2.0000001024,0.0,M_Req,100,1040,28
30,LINK,16,55,Gateway-8,EndDevice-30,Application-30,2.0000014900184615,0.0,M_Req,100,15133,29
31,LINK,16,56,Gateway-8,EndDevice-31,Application-31,2.000001299396923,0.0,M_Req,100,13197,30
32,LINK,16,57,Gateway-8,EndDevice-32,Application-32,2.000001553723077,0.0,M_Req,100,15780,31
33,LINK,18,58,Gateway-9,EndDevice-33,Application-33,2.0000015336369232,0.0,M_Req,100,15576,32
34,LINK,18,59,Gateway-9,EndDevice-34,Application-34,2.000001836406154,0.0,M_Req,100,18651,33
35,LINK,18,60,Gateway-9,EndDevice-35,Application-35,2.0000019213784617,0.0,M_Req,100,19514,34
36,LINK,18,61,Gateway-9,EndDevice-36,Application-36,2.0000014231630767,0.0,M_Req,100,14454,35
37,LINK,20,62,Gateway-10,EndDevice-37,Application-37,2.000000518104615,0.0,M_Req,100,5262,36
38,LINK,20,63,Gateway-10,EndDevice-38,Application-38,2.000001121870769,0.0,M_Req,100,11394,37
39,LINK,20,64,Gateway-10,EndDevice-39,Application-39,2.000000626313846,0.0,M_Req,100,6361,38
40,LINK,20,65,Gateway-10,EndDevice-40,Application-40,2.0000005828923078,0.0,M_Req,100,5920,39
41,LINK,22,66,Gateway-11,EndDevice-41,Application-41,2.0000007265476922,0.0,M_Req,100,7379,40
42,LINK,22,67,Gateway-11,EndDevice-42,Application-42,2.0000015189661537,0.0,M_Req,100,15427,41
43,LINK,22,68,Gateway-11,EndDevice-43,Application-43,2.0000017232738463,0.0,M_Req,100,17502,42
44,LINK,22,69,Gateway-11,EndDevice-44,Application-44,2.000001024689231,0.0,M_Req,100,10407,43
45,LINK,24,70,Gateway-12,EndDevice-45,Application-45,2.0000018767753844,0.0,M_Req,100,19061,44
46,LINK,24,71,Gateway-12,EndDevice-46,Application-46,2.0000014449230767,0.0,M_Req,100,14675,45
47,LINK,24,72,Gateway-12,EndDevice-47,Application-47,2.0000013117046156,0.0,M_Req,100,13322,46
48,LINK,24,73,Gateway-12,EndDevice-48,Application-48,2.0000001601969233,0.0,M_Req,100,1627,47
9,LINK,6,7,Gateway-3,Fog-3,Application-9,2.0000000000012994,0.0,M_Req,102.0000000199877,203,47
27,LINK,14,15,Gateway-7,Fog-7,Application-27,2.000000000001626,0.0,M_Req,102.00000002500923,254,47
29,LINK,16,17,Gateway-8,Fog-8,Application-29,2.000000000006656,0.0,M_Req,102.0000001024,1040,47
18,LINK,10,11,Gateway-5,Fog-5,Application-18,2.00000000000727,0.0,M_Req,102.0000001118523,1136,47
48,LINK,24,25,Gateway-12,Fog-12,Application-48,2.000000000010413,0.0,M_Req,102.00000016019692,1627,47
13,LINK,8,9,Gateway-4,Fog-4,Application-13,2.000000000011584,0.0,M_Req,102.00000017821539,1810,47
21,LINK,12,13,Gateway-6,Fog-6,Application-21,2.0000000000125246,0.0,M_Req,102.00000019268923,1957,47
11,LINK,6,7,Gateway-3,Fog-3,Application-11,2.000000000013536,1.999999811742839,M_Req,102.00000020824615,2115,47
20,LINK,10,11,Gateway-5,Fog-5,Application-20,2.0000000000169473,1.999999851133424,M_Req,102.00000026072615,2648,47
8,LINK,4,5,Gateway-2,Fog-2,Application-8,2.000000000017504,0.0,M_Req,102.00000026929231,2735,47
25,LINK,14,15,Gateway-7,Fog-7,Application-25,2.000000000019917,1.999999718598545,M_Req,102.0000003064123,3112,47
37,LINK,20,21,Gateway-10,Fog-10,Application-37,2.0000000000336766,0.0,M_Req,102.00000051810461,5262,47
28,LINK,14,15,Gateway-7,Fog-7,Application-28,2.000000000033971,3.999999502396932,M_Req,102.00000052263384,5308,47
40,LINK,20,21,Gateway-10,Fog-10,Application-40,2.000000000037888,1.999999935245981,M_Req,102.00000058289231,5920,47
39,LINK,20,21,Gateway-10,Fog-10,Application-39,2.0000000000407105,3.9999998918623305,M_Req,102.00000062631385,6361,47
24,LINK,12,13,Gateway-6,Fog-6,Application-24,2.0000000000412927,1.9999995574278984,M_Req,102.00000063527385,6452,47
41,LINK,22,23,Gateway-11,Fog-11,Application-41,2.000000000047226,0.0,M_Req,102.0000007265477,7379,47
19,LINK,10,11,Gateway-5,Fog-5,Application-19,2.000000000051648,3.999999317291909,M_Req,102.00000079458462,8070,47
22,LINK,12,13,Gateway-6,Fog-6,Application-22,2.0000000000520064,3.9999993926445825,M_Req,102.00000080009846,8126,47
12,LINK,6,7,Gateway-3,Fog-3,Application-12,2.000000000056653,3.999999148420983,M_Req,102.00000087158153,8852,47
26,LINK,14,15,Gateway-7,Fog-7,Application-26,2.0000000000569855,5.999999148363202,M_Req,102.00000087670153,8904,47
14,LINK,8,9,Gateway-4,Fog-4,Application-14,2.000000000059507,1.9999992627315777,M_Req,102.00000091549539,9298,47
15,LINK,8,9,Gateway-4,Fog-4,Application-15,2.0000000000601346,3.9999992531418513,M_Req,102.00000092514462,9396,47
10,LINK,6,7,Gateway-3,Fog-3,Application-10,2.0000000000604414,5.99999909018841,M_Req,102.00000092987077,9444,47
2,LINK,2,3,Gateway-1,Fog-1,Application-2,2.0000000000620415,0.0,M_Req,102.00000095448615,9694,47
44,LINK,22,23,Gateway-11,Fog-11,Application-44,2.000000000066605,1.9999997019056934,M_Req,102.00000102468923,10407,47
38,LINK,20,21,Gateway-10,Fog-10,Application-38,2.0000000000729217,5.9999993963461264,M_Req,102.00000112187077,11394,47
5,LINK,4,5,Gateway-2,Fog-2,Application-5,2.0000000000767746,1.999999088165211,M_Req,102.00000118114461,11996,47
6,LINK,4,5,Gateway-2,Fog-2,Application-6,2.0000000000782143,3.9999990660881366,M_Req,102.00000120329847,12221,47
31,LINK,16,17,Gateway-8,Fog-8,Application-31,2.000000000084461,1.999998803009717,M_Req,102.00000129939693,13197,47
47,LINK,24,25,Gateway-12,Fog-12,Application-47,2.0000000000852607,1.9999988485027131,M_Req,102.00000131170462,13322,47
36,LINK,18,19,Gateway-9,Fog-9,Application-36,2.0000000000925056,0.0,M_Req,102.00000142316307,14454,47
46,LINK,24,25,Gateway-12,Fog-12,Application-46,2.00000000009392,3.9999987153695287,M_Req,102.00000144492307,14675,47
30,LINK,16,17,Gateway-8,Fog-8,Application-30,2.0000000000968514,3.9999986124726377,M_Req,102.00000149001846,15133,47
23,LINK,12,13,Gateway-6,Fog-6,Application-23,2.000000000097747,5.99999868899198,M_Req,102.00000150380308,15273,47
42,LINK,22,23,Gateway-11,Fog-11,Application-42,2.000000000098733,3.9999992076953674,M_Req,102.00000151896616,15427,47
17,LINK,10,11,Gateway-5,Fog-5,Application-17,2.000000000098861,5.999998590992789,M_Req,102.00000152093538,15447,47
1,LINK,2,3,Gateway-1,Fog-1,Application-1,2.000000000099373,1.9999994257358935,M_Req,102.0000015288123,15527,47
33,LINK,18,19,Gateway-9,Fog-9,Application-33,2.0000000000996865,1.999999889618664,M_Req,102.00000153363692,15576,47
32,LINK,16,17,Gateway-8,Fog-8,Application-32,2.000000000100992,5.999998548864866,M_Req,102.00000155372308,15780,47
4,LINK,2,3,Gateway-1,Fog-1,Application-4,2.0000000001081024,3.999999291533726,M_Req,102.00000166311385,16891,47
7,LINK,4,5,Gateway-2,Fog-2,Application-7,2.000000000109869,5.999998579175596,M_Req,102.00000169028922,17167,47
43,LINK,22,23,Gateway-11,Fog-11,Application-43,2.0000000001120126,5.999999003486423,M_Req,102.00000172327384,17502,47
16,LINK,8,9,Gateway-4,Fog-4,Application-16,2.0000000001139777,5.999998424845074,M_Req,102.00000175350154,17809,47
34,LINK,18,19,Gateway-9,Fog-9,Application-34,2.0000000001193663,3.999999586949116,M_Req,102.00000183640616,18651,47
3,LINK,2,3,Gateway-1,Fog-1,Application-3,2.0000000001196225,5.999999114411068,M_Req,102.00000184034461,18691,47
45,LINK,24,25,Gateway-12,Fog-12,Application-45,2.0000000001219904,5.999998283611134,M_Req,102.00000187677539,19061,47
35,LINK,18,19,Gateway-9,Fog-9,Application-35,2.0000000001248894,5.999999502096188,M_Req,102.00000192137846,19514,47
9,LINK,6,7,Gateway-3,Fog-3,Application-9,2.000000000026112,5.982740740871364,M_Resp,104.01725927924825,4080,36
13,LINK,8,9,Gateway-4,Fog-4,Application-13,2.000000000044877,5.979777778011396,M_Resp,104.02022240044919,7012,37
2,LINK,2,3,Gateway-1,Fog-1,Application-2,2.000000000059008,5.978888889215995,M_Resp,104.02111206565931,9220,38
21,LINK,12,13,Gateway-6,Fog-6,Application-21,2.000000000056352,5.977259259450307,M_Resp,104.02274093344249,8805,39
8,LINK,4,5,Gateway-2,Fog-2,Application-8,2.00000000004016,5.971629629894494,M_Resp,104.02837063968019,6275,40
18,LINK,10,11,Gateway-5,Fog-5,Application-18,2.0000000001276543,5.970074074241538,M_Resp,104.0299260377855,19946,41
29,LINK,16,17,Gateway-8,Fog-8,Application-29,2.0000000001234306,5.969481481763779,M_Resp,104.03051862092516,19286,42
41,LINK,22,23,Gateway-11,Fog-11,Application-41,2.000000000007424,5.967111111388462,M_Resp,104.03288961548381,1160,43
37,LINK,20,21,Gateway-10,Fog-10,Application-37,2.0000000000253633,5.964444444595955,M_Resp,104.03555607369385,3963,44
27,LINK,14,15,Gateway-7,Fog-7,Application-27,2.0000000000648575,5.953333333444206,M_Resp,104.04666669167752,10134,45
48,LINK,24,25,Gateway-12,Fog-12,Application-48,2.0000000000263105,5.950074074375252,M_Resp,104.04992608613325,4111,46
36,LINK,18,19,Gateway-9,Fog-9,Application-36,2.0000000000091007,5.929777778121718,M_Resp,104.07022364547781,1422,47
14,LINK,8,9,Gateway-4,Fog-4,Application-14,2.000000000096621,5.980074074293057,M_Resp,106.0199261042124,15097,36
