id,type,src,dst,srcLabel,dstLabel,app,latency,wait,message,ctime,size,buffer
1,LINK,2,26,Gateway-1,EndDevice-1,Application-1,2.000000772430769,0.0,M_Req,100,7845,0
2,LINK,2,27,Gateway-1,EndDevice-2,Application-2,2.00000154496,0.0,M_Req,100,15691,1
3,LINK,2,28,Gateway-1,EndDevice-3,Application-3,2.000001789636923,0.0,M_Req,100,18176,2
4,LINK,2,29,Gateway-1,EndDevice-4,Application-4,2.0000005737353845,0.0,M_Req,100,5827,3
5,LINK,4,30,Gateway-2,EndDevice-5,Application-5,2.000000679286154,0.0,M_Req,100,6899,4
6,LINK,4,31,Gateway-2,EndDevice-6,Application-6,2.000000662646154,0.0,M_Req,100,6730,5
7,LINK,4,32,Gateway-2,EndDevice-7,Application-7,2.000001577452308,0.0,M_Req,100,16021,6
8,LINK,4,33,Gateway-2,EndDevice-8,Application-8,2.0000004398276925,0.0,M_Req,100,4467,7
9,LINK,6,34,Gateway-3,EndDevice-9,Application-9,2.0000000511015386,0.0,M_Req,100,519,8
10,LINK,6,35,Gateway-3,EndDevice-10,Application-10,2.000000630153846,0.0,M_Req,100,6400,9
11,LINK,6,36,Gateway-3,EndDevice-11,Application-11,2.0000013395692307,0.0,M_Req,100,13605,10
12,LINK,6,37,Gateway-3,EndDevice-12,Application-12,2.0000016152615383,0.0,M_Req,100,16405,11
13,LINK,8,38,Gateway-4,EndDevice-13,Application-13,2.0000002304984617,0.0,M_Req,100,2341,12
14,LINK,8,39,Gateway-4,EndDevice-14,Application-14,2.0000008527753845,0.0,M_Req,100,8661,13
15,LINK,8,40,Gateway-4,EndDevice-15,Application-15,2.0000000250092307,0.0,M_Req,100,254,14
16,LINK,8,41,Gateway-4,EndDevice-16,Application-16,2.000001215803077,0.0,M_Req,100,12348,15
17,LINK,10,42,Gateway-5,EndDevice-17,Application-17,2.000000561033846,0.0,M_Req,100,5698,16
18,LINK,10,43,Gateway-5,EndDevice-18,Application-18,2.000001908676923,0.0,M_Req,100,19385,17
19,LINK,10,44,Gateway-5,EndDevice-19,Application-19,2.000001352369231,0.0,M_Req,100,13735,18
20,LINK,10,45,Gateway-5,EndDevice-20,Application-20,2.0000013568984616,0.0,M_Req,100,13781,19
21,LINK,12,46,Gateway-6,EndDevice-21,Application-21,2.00000179712,0.0,M_Req,100,18252,20
22,LINK,12,47,Gateway-6,EndDevice-22,Application-22,2.0000001405046155,0.0,M_Req,100,1427,21
23,LINK,12,48,Gateway-6,EndDevice-23,Application-23,2.0000019435323075,0.0,M_Req,100,19739,22
24,LINK,12,49,Gateway-6,EndDevice-24,Application-24,2.000001503507692,0.0,M_Req,100,15270,23
25,LINK,14,50,Gateway-7,EndDevice-25,Application-25,2.000000625033846,0.0,M_Req,100,6348,24
26,LINK,14,51,Gateway-7,EndDevice-26,Application-26,2.0000015702646152,0.0,M_Req,100,15948,25
27,LINK,14,52,Gateway-7,EndDevice-27,Application-27,2.0000006514215385,0.0,M_Req,100,6616,26
28,LINK,14,53,Gateway-7,EndDevice-28,Application-28,2.000001046153846,0.0,M_Req,100,10625,27
29,LINK,16,54,Gateway-8,EndDevice-29,Application-29,2.000000453513846,0.0,M_Req,100,4606,28
30,LINK,16,55,Gateway-8,EndDevice-30,Application-30,2.000000750572308,0.0,M_Req,100,7623,29
31,LINK,16,56,Gateway-8,EndDevice-31,Application-31,2.0000003768123076,0.0,M_Req,100,3827,30
32,LINK,16,57,Gateway-8,EndDevice-32,Application-32,2.0000016236307694,0.0,M_Req,100,16490,31
33,LINK,18,58,Gateway-9,EndDevice-33,Application-33,2.0000001034830768,0.0,M_Req,100,1051,32
34,LINK,18,59,Gateway-9,EndDevice-34,Application-34,2.000000331126154,0.0,M_Req,100,3363,33
35,LINK,18,60,Gateway-9,EndDevice-35,Application-35,2.0000017784123076,0.0,M_Req,100,18062,34
