id,type,src,dst,srcLabel,dstLabel,app,latency,wait,message,ctime,size,buffer
1,LINK,2,26,Gateway-1,EndDevice-1,Application-1,2.0000011109415383,0.0,M_Req,100,11283,0
2,LINK,2,27,Gateway-1,EndDevice-2,Application-2,2.000000300110769,0.0,M_Req,100,3048,1
3,LINK,2,28,Gateway-1,EndDevice-3,Application-3,2.000000720836923,0.0,M_Req,100,7321,2
4,LINK,2,29,Gateway-1,EndDevice-4,Application-4,2.000001047236923,0.0,M_Req,100,10636,3
5,LINK,4,30,Gateway-2,EndDevice-5,Application-5,2.0000017097846152,0.0,M_Req,100,17365,4
6,LINK,4,31,Gateway-2,EndDevice-6,Application-6,2.0000001515323076,0.0,M_Req,100,1539,5
7,LINK,4,32,Gateway-2,EndDevice-7,Application-7,2.000001540529231,0.0,M_Req,100,15646,6
8,LINK,4,33,Gateway-2,EndDevice-8,Application-8,2.0000012152123077,0.0,M_Req,100,12342,7
9,LINK,6,34,Gateway-3,EndDevice-9,Application-9,2.0000000950153844,0.0,M_Req,100,965,8
10,LINK,6,35,Gateway-3,EndDevice-10,Application-10,2.000001538166154,0.0,M_Req,100,15622,9
11,LINK,6,36,Gateway-3,EndDevice-11,Application-11,2.0000012909292306,0.0,M_Req,100,13111,10
12,LINK,6,37,Gateway-3,EndDevice-12,Application-12,2.000000516627692,0.0,M_Req,100,5247,11
13,LINK,8,38,Gateway-4,EndDevice-13,Application-13,2.000001086326154,0.0,M_Req,100,11033,12
14,LINK,8,39,Gateway-4,EndDevice-14,Application-14,2.000001625403077,0.0,M_Req,100,16508,13
15,LINK,8,40,Gateway-4,EndDevice-15,Application-15,2.0000009277046153,0.0,M_Req,100,9422,14
16,LINK,8,41,Gateway-4,EndDevice-16,Application-16,2.000001841526154,0.0,M_Req,100,18703,15
17,LINK,10,42,Gateway-5,EndDevice-17,Application-17,2.000000853169231,0.0,M_Req,100,8665,16
18,LINK,10,43,Gateway-5,EndDevice-18,Application-18,2.0000016924553847,0.0,M_Req,100,17189,17
19,LINK,10,44,Gateway-5,EndDevice-19,Application-19,2.0000005590646155,0.0,M_Req,100,5678,18
20,LINK,10,45,Gateway-5,EndDevice-20,Application-20,2.000000183236923,0.0,M_Req,100,1861,19
21,LINK,12,46,Gateway-6,EndDevice-21,Application-21,2.0000013270646155,0.0,M_Req,100,13478,20
22,LINK,12,47,Gateway-6,EndDevice-22,Application-22,2.0000019385107692,0.0,M_Req,100,19688,21
